date,value
2020-01-01,10000.0
2020-01-02,9673.455217092425
2020-01-03,10200.129151419624
2020-01-04,10212.8359846407
2020-01-05,10219.279668372483
2020-01-06,10773.728101543567
2020-01-07,11311.553497156585
2020-01-08,11187.540359818631
2020-01-09,10856.718304089101
2020-01-10,11383.40612566572
2020-01-11,11137.587923647903
2020-01-12,11366.6858773617
2020-01-13,11263.031447676314
2020-01-14,12234.680627981417
2020-01-15,12250.512092322435
2020-01-16,12109.69538318393
2020-01-17,12378.094252761826
2020-01-18,12381.816035606906
2020-01-19,12084.267829492352
2020-01-20,12001.847004173118
2020-01-21,12131.942756757882
2020-01-22,12057.409889110313
2020-01-23,11671.566551171041
2020-01-24,11719.449787177902
2020-01-25,11582.771478367138
2020-01-26,11963.865377004104
2020-01-27,12370.164633341896
2020-01-28,13018.199240367454
2020-01-29,12917.266711568773
2020-01-30,13211.232007332464
2020-01-31,12988.591624599872
2020-02-01,13032.641979766277
2020-02-02,12958.900685335759
2020-02-03,12904.365456855787
2020-02-04,12772.131067860044
2020-02-05,13348.479693369532
2020-02-06,13570.620135122937
2020-02-07,13628.571626960704
2020-02-08,13741.502739259948
2020-02-09,14097.98843192123
2020-02-10,13681.482047258309
2020-02-11,14197.046182047952
2020-02-12,14340.612566572
2020-02-13,14206.142330419325
2020-02-14,14365.47074303728
2020-02-15,13754.931709450966
2020-02-16,13772.360207475507
2020-02-17,13478.96428893811
2020-02-18,14115.986307172068
2020-02-19,13323.135463174487
2020-02-20,13326.787809772459
2020-02-21,13438.760701861585
2020-02-22,13402.389995625517
2020-02-23,13798.926515619683
2020-02-24,13409.708576070878
2020-02-25,12937.139365491574
2020-02-26,12200.295798412686
2020-02-27,12253.011797218383
2020-02-28,12072.060937250462
2020-02-29,11836.949804536966
2020-03-01,11848.43455980891
2020-03-02,12380.816153648526
2020-03-03,12165.327704368234
2020-03-04,12152.551434900048
2020-03-05,12574.459959588105
2020-03-06,12681.669525125506
2020-03-07,12341.126394800613
2020-03-08,11156.057965379086
2020-03-09,11012.408257358506
2020-03-10,10963.372379649625
2020-03-11,11018.86582833971
2020-03-12,6665.879722532756
2020-03-13,7747.140962525257
2020-03-14,7182.568724525577
