timestamp,open,high,low,close,volume
2020-01-01,4.4945,4.5742,4.4723,4.5035,526602.35
2020-01-02,4.507,4.5123,4.168,4.2283,1838183.26
2020-01-03,4.2329,4.6299,4.1791,4.5768,2720581.72
2020-01-04,4.5769,4.7842,4.5207,4.7598,1679464.53
2020-01-05,4.7587,5.0052,4.7325,4.8784,2448806.94
2020-01-06,4.8783,5.1559,4.8411,5.0333,2444397.79
2020-01-07,5.0306,5.079,4.712,4.8344,2580872.33
2020-01-08,4.8352,5.0589,4.6938,4.9521,2433430.68
2020-01-09,4.952,5.21,4.8724,5.1848,2404361.04
2020-01-10,5.1866,5.4013,4.9102,5.36,4501794.17
2020-01-11,5.3608,5.8289,5.3167,5.5704,5110726.49
2020-01-12,5.5685,5.6472,5.3599,5.5765,2130708.1
2020-01-13,5.5802,5.5987,5.3106,5.4677,1110546.67
2020-01-14,5.4725,7.0163,5.4711,6.7895,8355276.02
2020-01-15,6.7834,8.1277,6.6222,7.9911,10584307.67
2020-01-16,7.9864,8.65,7.3087,8.414,8608940.54
2020-01-17,8.4029,12.0299,8.1649,9.4792,20398865.04
2020-01-18,9.4563,9.766,8.1,8.2944,13254147.33
2020-01-19,8.2991,9.46,7.77,8.5268,11983020.23
2020-01-20,8.5258,9.0946,8.0512,8.6347,6508082.79
2020-01-21,8.624,9.1469,8.5001,8.943,3982256.64
2020-01-22,8.937,9.5275,8.9121,9.3457,4277149.34
2020-01-23,9.3459,9.39,8.1864,8.4421,4851643.93
2020-01-24,8.4403,8.8441,7.8401,8.6118,6109306.61
2020-01-25,8.6119,8.65,8.1,8.3966,2870637.12
2020-01-26,8.3903,9.378,8.2287,9.19,3700026.35
2020-01-27,9.1898,11.1721,9.1654,10.4161,9777170.76
2020-01-28,10.4229,11.7,10.3572,11.3697,11521471.14
2020-01-29,11.3697,12.8789,11.3316,12.2231,12337574.44
2020-01-30,12.2282,12.7189,11.6722,12.2842,9131565.77
2020-01-31,12.2872,12.3114,10.7101,11.338,6927747.23
2020-02-01,11.3374,11.7999,11.0306,11.5282,4495096.72
2020-02-02,11.5275,11.7481,11.1401,11.3658,3871717.98
2020-02-03,11.364,12.2216,11.2878,11.7782,4945289.0
2020-02-04,11.77,11.908,11.07,11.4111,4272858.82
2020-02-05,11.4155,12.6426,11.3184,12.3345,4822356.49
2020-02-06,12.34,13.2228,10.9696,12.1132,8405057.34
2020-02-07,12.1139,12.2689,11.28,11.6967,4633378.79
2020-02-08,11.6962,11.9498,11.1111,11.6984,2989750.46
2020-02-09,11.6965,12.1486,11.2759,11.7025,3054471.27
2020-02-10,11.701,12.0767,11.3503,11.8387,4249729.19
2020-02-11,11.8386,12.1461,11.5869,11.96,4044074.9
2020-02-12,11.9585,12.47,11.9515,12.2074,3472891.06
2020-02-13,12.2132,13.0624,11.0005,12.055,6326173.31
2020-02-14,12.0495,12.0742,11.6707,12.0094,2153356.85
2020-02-15,12.0066,12.0612,9.76,10.4066,5956360.84
2020-02-16,10.3943,10.6674,8.8515,9.5637,7096045.59
2020-02-17,9.562,9.9051,8.6643,9.6792,7207884.57
2020-02-18,9.6831,9.999,9.15,9.8629,4002950.69
2020-02-19,9.8631,9.87,8.65,8.813,3017740.67
2020-02-20,8.8115,9.0545,8.3284,8.8702,3797612.17
2020-02-21,8.8824,9.88,8.7771,9.4157,4118156.7
2020-02-22,9.4267,9.7363,9.2868,9.4958,2510552.67
2020-02-23,9.4868,9.98,9.4553,9.7439,2386262.3
2020-02-24,9.7439,9.78,8.9868,9.3481,2602786.04
2020-02-25,9.3514,9.4654,8.92,9.1742,2310554.59
2020-02-26,9.1733,9.3558,7.27,7.6823,7205349.06
2020-02-27,7.6832,8.0727,7.3208,7.7166,4814952.58
2020-02-28,7.7139,7.843,7.1766,7.4529,4138317.28
2020-02-29,7.4514,7.6659,7.33,7.354,2263216.2
2020-03-01,7.3485,7.9256,7.3481,7.7346,3679595.05
2020-03-02,7.7379,8.6629,7.6926,8.456,4372343.71
2020-03-03,8.4563,8.6348,8.1046,8.4782,4053136.67
2020-03-04,8.478,8.5261,7.61,7.9381,3470789.53
2020-03-05,7.938,8.447,7.938,8.1748,2885865.82
2020-03-06,8.175,8.312,7.8712,8.2189,2123489.33
