date,value
2020-01-01,10000.0
2020-01-02,9726.236904488796
2020-01-03,10273.763095511202
2020-01-04,10262.29257474956
2020-01-05,10351.762636690371
2020-01-06,11023.170451938518
2020-01-07,10919.935765083736
2020-01-08,10760.877877188957
2020-01-09,10532.996864724324
2020-01-10,11075.934847442073
2020-01-11,10887.818306951134
2020-01-12,11205.934082740687
2020-01-13,10979.582473044276
2020-01-14,12666.513726389843
2020-01-15,12724.631031582168
2020-01-16,12557.161428462185
2020-01-17,12988.453009099945
2020-01-18,13316.509902882923
2020-01-19,12754.454385562438
2020-01-20,12760.571996635312
2020-01-21,12960.923759272006
2020-01-22,12852.336162728452
2020-01-23,12450.103234686854
2020-01-24,12429.456297315897
2020-01-25,12261.986694195914
2020-01-26,12836.277433662155
2020-01-27,13006.041140934465
2020-01-28,13431.215110499348
2020-01-29,13284.392444750323
2020-01-30,14123.26986311845
2020-01-31,13763.860212586984
2020-02-01,14039.917412250516
2020-02-02,14410.032882159516
2020-02-03,14505.620555173204
2020-02-04,14445.973847212663
2020-02-05,15583.084805383496
2020-02-06,16302.66880783054
2020-02-07,17078.07601131758
2020-02-08,17056.664372562514
2020-02-09,17472.661925518085
2020-02-10,17044.42915041676
2020-02-11,18099.717060487877
2020-02-12,20321.174581325988
2020-02-13,20518.46753842624
2020-02-14,21805.459967882536
2020-02-15,20255.410262292575
2020-02-16,19794.295327674543
2020-02-17,20482.526573373096
2020-02-18,21611.225816318725
2020-02-19,19763.70727231016
2020-02-20,19649.766766077842
2020-02-21,20285.233616272842
2020-02-22,20002.294104152326
2020-02-23,20989.5235910377
2020-02-24,20304.35115087558
2020-02-25,18862.889041829163
2020-02-26,17123.95809436415
2020-02-27,17419.132828630416
2020-02-28,17340.36858606714
2020-02-29,16610.07876424256
2020-03-01,16655.960847289134
2020-03-02,17738.778007188193
2020-03-03,17122.42869159593
2020-03-04,17149.19324003976
2020-03-05,17464.25021029288
2020-03-06,18726.00749407356
2020-03-07,18141.01093522979
2020-03-08,15250.439703295862
2020-03-09,15508.908771124874
2020-03-10,15347.55677907777
2020-03-11,14881.853636155083
2020-03-12,8245.010323468685
2020-03-13,10251.586755372027
2020-03-14,9370.650760877877
2020-03-15,9465.473732507455
2020-03-16,8489.714766383726
2020-03-17,8845.300909994647
2020-03-18,9031.888047717366
2020-03-19,10422.879865412555
2020-03-20,10207.234075093675
2020-03-21,10144.528561596695
2020-03-22,9353.827330427466
2020-03-23,10393.821212816394
2020-03-24,10584.996558843768
2020-03-25,10407.585837730365
2020-03-26,10583.467156075552
2020-03-27,10042.823277510133
2020-03-28,10016.058729066297
2020-03-29,9520.53223216334
2020-03-30,10098.646478550127
2020-03-31,10149.116769901351
2020-04-01,10376.233080981876
2020-04-02,10803.70115469909
2020-04-03,10805.995258851417
2020-04-04,11019.34694501797
2020-04-05,10910.759348474421
2020-04-06,13100.86411256404
2020-04-07,12589.278886594784
2020-04-08,13237.745660319644
2020-04-09,12963.217863424332
2020-04-10,12067.752542632103
2020-04-11,12107.517014605797
2020-04-12,12127.399250592644
2020-04-13,11951.517932247456
2020-04-14,12116.693431215108
2020-04-15,11679.284239504474
2020-04-16,13175.040146822663
2020-04-17,13052.687925365142
2020-04-18,14330.503938212127
2020-04-19,13766.919018123423
2020-04-20,13015.217557543776
2020-04-21,13056.511432285692
2020-04-22,13971.094287680658
2020-04-23,14185.97537661543
2020-04-24,14345.033264510208
2020-04-25,14851.2655807907
2020-04-26,15093.675919553412
2020-04-27,15014.146975606025
2020-04-28,15006.49996176493
2020-04-29,16468.609008182306
2020-04-30,15758.966123728684
2020-05-01,16213.19874588973
2020-05-02,16356.962606102317
2020-05-03,16048.023246922075
2020-05-04,15789.554179093062
2020-05-05,15698.554714384032
2020-05-06,15215.263439626824
2020-05-07,16211.669343121512
2020-05-08,16158.904947617953
2020-05-09,16064.081975988376
2020-05-10,14341.209757589659
2020-05-11,14202.79880706584
2020-05-12,14510.973464861969
2020-05-13,15261.910224057505
2020-05-14,15545.61443756213
2020-05-15,14900.971170757819
2020-05-16,15328.43924447503
2020-05-17,15829.318651066757
2020-05-18,16434.197445897375
2020-05-19,16408.962300221763
2020-05-20,16057.19966353139
2020-05-21,15197.675307792306
2020-05-22,15856.8479008947
2020-05-23,15798.730595702376
2020-05-24,15286.38066834901
2020-05-25,15611.378756595548
2020-05-26,15362.086105375849
2020-05-27,15927.965129616883
2020-05-28,16839.489179475415
2020-05-29,16874.66544314445
2020-05-30,18632.713925212203
2020-05-31,17708.189951823813
2020-06-01,18982.182457750245
2020-06-02,18177.71660166705
2020-06-03,18698.478244245624
2020-06-04,18598.302362927276
2020-06-05,18355.127322780452
2020-06-06,18501.185287145367
2020-06-07,18701.53704978206
2020-06-08,18842.242104458208
2020-06-09,18643.419744589737
2020-06-10,18947.77089546532
2020-06-11,17627.131605108203
2020-06-12,18165.481379521294
2020-06-13,18208.30465703143
2020-06-14,17723.483979506003
2020-06-15,17653.89615355204
2020-06-16,17993.42356809666
2020-06-17,17880.247763248448
2020-06-18,17685.248910300525
2020-06-19,17511.66169610767
2020-06-20,17503.24998088246
2020-06-21,17438.250363233157
2020-06-22,18592.1847518544
2020-06-23,18592.949453238507
2020-06-24,17938.365068440773
2020-06-25,17779.307180545995
2020-06-26,17560.602584690678
2020-06-27,16895.312380515406
2020-06-28,17200.4282327751
2020-06-29,17429.83864800795
2020-06-30,17251.663225510438
2020-07-01,17663.83727154546
2020-07-02,17317.427544543854
2020-07-03,17195.840024470443
2020-07-04,17524.66161963753
2020-07-05,17401.5446967959
2020-07-06,18475.185440085643
2020-07-07,18306.186434197443
2020-07-08,18884.30068058423
2020-07-09,18504.244092681805
2020-07-10,18449.185593025923
2020-07-11,18290.892406515253
2020-07-12,18566.184904794674
2020-07-13,18314.59814942265
2020-07-14,18386.48007952894
2020-07-15,18246.539726236904
2020-07-16,17861.13022864571
2020-07-17,17792.307104075855
2020-07-18,18021.71751930871
2020-07-19,18284.77479544238
2020-07-20,18047.717366368433
2020-07-21,18780.30129234534
2020-07-22,20168.23430450409
2020-07-23,21052.229104534676
2020-07-24,21346.639137416834
2020-07-25,23343.274451326757
2020-07-26,23782.213045805613
2020-07-27,24618.0316586373
2020-07-28,24223.445744436794
2020-07-29,24295.327674543085
2020-07-30,25607.555249675
2020-07-31,26483.903035864492
2020-08-01,29593.94356503785
2020-08-02,28479.008947006194
2020-08-03,29512.885218322244
2020-08-04,29793.530626290434
2020-08-05,30643.113864036095
2020-08-06,30188.116540490933
2020-08-07,29008.182304809965
2020-08-08,30360.93905329968
2020-08-09,29834.059799648232
2020-08-10,30239.351533226272
2020-08-11,28982.18245775025
2020-08-12,29607.70818995182
2020-08-13,32464.632560984934
2020-08-14,33502.33233922153
2020-08-15,33059.57023782213
2020-08-16,33158.98141775636
2020-08-17,32950.21793989447
2020-08-18,32266.574902500568
2020-08-19,31158.522596925894
2020-08-20,31806.989370650757
2020-08-21,29668.119599296475
2020-08-22,30224.057505544086
2020-08-23,29877.647778542476
2020-08-24,31175.34602737631
2020-08-25,29282.71010170528
2020-08-26,29502.94410032882
2020-08-27,29308.709948765005
