execution_scenario,coin,total_trade_notional
next_day_vwap_approx,ADA,3991599.4721944537
next_day_vwap_approx,ALGO,5184386.001543154
next_day_vwap_approx,DOGE,4646074.125791487
next_day_vwap_approx,HBAR,5164728.074870322
next_day_vwap_approx,MATIC,1774385.5766952715
next_day_vwap_approx,TRX,5144286.952104611
next_day_vwap_approx,VET,4041818.7399530443
next_day_vwap_approx,XLM,4668916.067935202
next_open,ADA,2543888.111961089
next_open,ALGO,3279039.2723131096
next_open,DOGE,2940339.5683889505
next_open,HBAR,3258536.1661689887
next_open,MATIC,1106604.5542172024
next_open,TRX,3261816.6777239153
next_open,VET,2590846.7355561564
next_open,XLM,2956029.65590506
same_close,ADA,2547907.8537505413
same_close,ALGO,3284293.43944555
same_close,DOGE,2944778.4955399935
same_close,HBAR,3263378.049506908
same_close,MATIC,1107649.7375482465
same_close,TRX,3266782.3181850845
same_close,VET,2594453.669193062
same_close,XLM,2960113.931706722
