coin,absolute_momentum,relative_momentum,difference,data_length
ADA,-0.2747884473877851,-0.16297714863109436,0.11181129875669071,531
DOT,-0.4075109410443828,-0.3161624635658661,0.09134847747851671,301
DOGE,-0.355677907777013,-0.2563379431975973,0.09933996457941574,531
MATIC,-0.02986815129685716,0.11970434458798129,0.14957249588483845,531
ALGO,-0.24020737327188946,-0.12306445121800724,0.11714292205388221,531
VET,-0.34310884432595345,-0.24183101305983645,0.101277831266117,531
TRX,-0.4026867899494154,-0.31059453695135,0.09209225299806545,531
XLM,-0.4961883638606953,-0.41851194907860656,0.07767641478208875,531
THETA,-0.029556650246305383,0.1200638720894367,0.14962052233574208,531
HBAR,-0.3474271148637885,-0.24681506372138695,0.10061205114240157,531
