variant,date,exposure_scaling_mode,breadth_pct,alt_participation_pct,target_exposure
no_scaling,2020-07-22,no_scaling,,,1.0
no_scaling,2020-07-29,no_scaling,,,1.0
no_scaling,2020-08-05,no_scaling,,,1.0
no_scaling,2020-08-12,no_scaling,,,1.0
no_scaling,2020-08-19,no_scaling,,,1.0
no_scaling,2020-08-26,no_scaling,,,1.0
no_scaling,2020-09-02,no_scaling,,,1.0
no_scaling,2020-09-09,no_scaling,,,1.0
no_scaling,2020-09-16,no_scaling,,,1.0
no_scaling,2020-09-23,no_scaling,,,1.0
no_scaling,2020-09-30,no_scaling,,,1.0
no_scaling,2020-10-07,no_scaling,,,1.0
no_scaling,2020-10-14,no_scaling,,,1.0
no_scaling,2020-10-21,no_scaling,,,1.0
no_scaling,2020-10-28,no_scaling,,,1.0
no_scaling,2020-11-04,no_scaling,,,1.0
no_scaling,2020-11-11,no_scaling,,,1.0
no_scaling,2020-11-18,no_scaling,,,1.0
no_scaling,2020-11-25,no_scaling,,,1.0
no_scaling,2020-12-02,no_scaling,,,1.0
no_scaling,2020-12-09,no_scaling,,,1.0
no_scaling,2020-12-16,no_scaling,,,1.0
no_scaling,2020-12-23,no_scaling,,,1.0
no_scaling,2020-12-30,no_scaling,,,1.0
no_scaling,2021-01-06,no_scaling,,,1.0
no_scaling,2021-01-13,no_scaling,,,1.0
no_scaling,2021-01-20,no_scaling,,,1.0
no_scaling,2021-01-27,no_scaling,,,1.0
no_scaling,2021-02-03,no_scaling,,,1.0
no_scaling,2021-02-10,no_scaling,,,1.0
no_scaling,2021-02-17,no_scaling,,,1.0
no_scaling,2021-02-24,no_scaling,,,1.0
no_scaling,2021-03-03,no_scaling,,,1.0
no_scaling,2021-03-10,no_scaling,,,1.0
no_scaling,2021-03-17,no_scaling,,,1.0
no_scaling,2021-03-24,no_scaling,,,1.0
no_scaling,2021-03-31,no_scaling,,,1.0
no_scaling,2021-04-07,no_scaling,,,1.0
no_scaling,2021-04-14,no_scaling,,,1.0
no_scaling,2021-04-21,no_scaling,,,1.0
no_scaling,2021-04-28,no_scaling,,,1.0
no_scaling,2021-05-05,no_scaling,,,1.0
no_scaling,2021-05-12,no_scaling,,,1.0
no_scaling,2021-08-11,no_scaling,,,1.0
no_scaling,2021-08-25,no_scaling,,,1.0
no_scaling,2021-09-01,no_scaling,,,1.0
no_scaling,2021-09-08,no_scaling,,,1.0
no_scaling,2021-09-15,no_scaling,,,1.0
no_scaling,2021-10-06,no_scaling,,,1.0
no_scaling,2021-10-13,no_scaling,,,1.0
no_scaling,2021-10-20,no_scaling,,,1.0
no_scaling,2021-10-27,no_scaling,,,1.0
no_scaling,2021-11-03,no_scaling,,,1.0
no_scaling,2021-11-10,no_scaling,,,1.0
no_scaling,2021-11-17,no_scaling,,,1.0
no_scaling,2021-11-24,no_scaling,,,1.0
no_scaling,2021-12-01,no_scaling,,,1.0
no_scaling,2021-12-08,no_scaling,,,1.0
no_scaling,2021-12-15,no_scaling,,,1.0
no_scaling,2021-12-22,no_scaling,,,1.0
no_scaling,2023-01-18,no_scaling,,,1.0
no_scaling,2023-01-25,no_scaling,,,1.0
no_scaling,2023-02-01,no_scaling,,,1.0
no_scaling,2023-02-08,no_scaling,,,1.0
no_scaling,2023-02-15,no_scaling,,,1.0
no_scaling,2023-02-22,no_scaling,,,1.0
no_scaling,2023-03-01,no_scaling,,,1.0
no_scaling,2023-03-08,no_scaling,,,1.0
no_scaling,2023-03-15,no_scaling,,,1.0
no_scaling,2023-03-22,no_scaling,,,1.0
no_scaling,2023-03-29,no_scaling,,,1.0
no_scaling,2023-04-05,no_scaling,,,1.0
no_scaling,2023-04-12,no_scaling,,,1.0
no_scaling,2023-04-19,no_scaling,,,1.0
no_scaling,2023-04-26,no_scaling,,,1.0
no_scaling,2023-05-03,no_scaling,,,1.0
no_scaling,2023-05-10,no_scaling,,,1.0
no_scaling,2023-05-17,no_scaling,,,1.0
no_scaling,2023-05-24,no_scaling,,,1.0
no_scaling,2023-05-31,no_scaling,,,1.0
no_scaling,2023-06-07,no_scaling,,,1.0
no_scaling,2023-06-14,no_scaling,,,1.0
no_scaling,2023-06-21,no_scaling,,,1.0
no_scaling,2023-06-28,no_scaling,,,1.0
no_scaling,2023-07-05,no_scaling,,,1.0
no_scaling,2023-07-12,no_scaling,,,1.0
