coin,coin_close_today,btc_close_today,coin_btc_ratio,coin_return_30d,btc_return_30d,relative_strength_ratio,ratio_momentum,absolute_momentum,relative_momentum,data_points
THETA,9.062,40516.29,0.00022366312414093194,-0.029556650246305383,-0.13358213407654207,0.2212620007206168,0.1200638720894367,-0.029556650246305383,0.2212620007206168,531
MATIC,1.54737,40516.29,3.819130527498939e-05,-0.02986815129685716,-0.13358213407654207,0.22359390724917463,0.11970434458798129,-0.02986815129685716,0.22359390724917463,531
ALGO,1.0552,40516.29,2.6043845574212247e-05,-0.24020737327188946,-0.13358213407654207,1.7981998485984025,-0.12306445121800724,-0.24020737327188946,1.7981998485984025,531
ADA,1.5769,40516.29,3.89201479207499e-05,-0.2747884473877851,-0.13358213407654207,2.057074842286412,-0.16297714863109436,-0.2747884473877851,2.057074842286412,531
VET,0.11334,40516.29,2.797393344750963e-06,-0.34310884432595345,-0.13358213407654207,2.5685234533635564,-0.24183101305983645,-0.34310884432595345,2.5685234533635564,531
HBAR,0.20481,40516.29,5.0550038021743845e-06,-0.3474271148637885,-0.13358213407654207,2.6008501605814596,-0.24681506372138695,-0.3474271148637885,2.6008501605814596,531
DOGE,0.32767,40516.29,8.08736436628329e-06,-0.355677907777013,-0.13358213407654207,2.6626158523056,-0.2563379431975973,-0.355677907777013,2.6626158523056,531
TRX,0.07203,40516.29,1.7778034464656068e-06,-0.4026867899494154,-0.13358213407654207,3.0145258026696697,-0.31059453695135,-0.4026867899494154,3.0145258026696697,531
DOT,25.858,40516.29,0.0006382124325795871,-0.4075109410443828,-0.13358213407654207,3.0506395474328962,-0.3161624635658661,-0.4075109410443828,3.0506395474328962,301
XLM,0.343,40516.29,8.465730697455272e-06,-0.4961883638606953,-0.13358213407654207,3.7144814857979527,-0.41851194907860656,-0.4961883638606953,3.7144814857979527,531
