date,coin,action,price,shares,trade_notional,fee_paid,slippage_paid,total_cost,net_proceeds
2020-07-22,VET,entry,0.017467,63612.01758236166,1111.111111111111,1.1111111111111112,1.1111111111111112,1113.3333333333333,
2020-07-22,ADA,entry,0.1238,7975.827200382935,987.4074074074073,0.9874074074074073,0.9874074074074073,989.3822222222221,
2020-07-22,ALGO,entry,0.3456,2538.9931984453583,877.4760493827159,0.877476049382716,0.877476049382716,879.2310014814814,
2020-07-22,XLM,entry,0.09738,8007.637254926818,779.7837158847735,0.7797837158847736,0.7797837158847736,781.343283316543,
2020-07-22,DOGE,entry,0.0032868,210833.57536700406,692.9677955162689,0.6929677955162689,0.6929677955162689,694.3537311073015,
2020-07-22,TRX,entry,0.01794,34326.49838064609,615.8173809487909,0.6158173809487909,0.6158173809487909,617.0490157106884,
2020-07-22,THETA,entry,0.25576,2139.7262245979,547.2563792031589,0.5472563792031588,0.5472563792031588,548.3508919615653,
2020-07-22,MATIC,entry,0.02122,22918.402559780418,486.3285023185405,0.48632850231854047,0.48632850231854047,487.30115932317756,
2020-07-22,HBAR,entry,0.04226,10226.78488074798,432.18392906040964,0.43218392906040964,0.43218392906040964,433.0482969185304,
2020-07-29,VET,exit,0.015583,63612.01758236166,991.2660699859417,0.9912660699859418,0.9912660699859418,,989.2835378459698
2020-07-29,ADA,exit,0.13972,7975.827200382935,1114.3825764375038,1.1143825764375037,1.1143825764375037,,1112.1538112846288
2020-07-29,ALGO,exit,0.308,2538.9931984453583,782.0099051211704,0.7820099051211704,0.7820099051211704,,780.445885310928
2020-07-29,XLM,exit,0.09498,8007.637254926818,760.5653864729492,0.7605653864729491,0.7605653864729491,,759.0442557000032
2020-07-29,DOGE,exit,0.0031663,210833.57536700406,667.562349684545,0.667562349684545,0.667562349684545,,666.2272249851759
2020-07-29,TRX,exit,0.01915,34326.49838064609,657.3524439893725,0.6573524439893725,0.6573524439893725,,656.0377391013939
2020-07-29,THETA,exit,0.24783,2139.7262245979,530.2883502420975,0.5302883502420975,0.5302883502420975,,529.2277735416133
2020-07-29,MATIC,exit,0.02034,22918.402559780418,466.1603080659337,0.4661603080659337,0.4661603080659337,,465.22798744980184
2020-07-29,HBAR,exit,0.04381,10226.78488074798,448.035445625569,0.448035445625569,0.448035445625569,,447.13937473431787
2020-07-29,ADA,entry,0.13972,7842.188070250811,1095.7105171754433,1.0957105171754433,1.0957105171754433,1097.901938209794,
2020-07-29,VET,entry,0.015583,62486.1331534307,973.7214129299106,0.9737214129299105,0.9737214129299105,975.6688557557703,
2020-07-29,XLM,entry,0.09498,9110.483915459892,865.3137622903805,0.8653137622903805,0.8653137622903805,867.0443898149613,
2020-07-29,ALGO,entry,0.308,2496.6736907642367,768.9754967553848,0.7689754967553848,0.7689754967553848,770.5134477488956,
2020-07-29,DOGE,entry,0.0031663,215823.79795027385,683.362891449952,0.683362891449952,0.683362891449952,684.729617232852,
2020-07-29,TRX,entry,0.01915,31711.844536215347,607.2818228685239,0.607281822868524,0.607281822868524,608.4963865142611,
2020-07-29,HBAR,entry,0.04381,12318.445862949746,539.6711132558283,0.5396711132558284,0.5396711132558284,540.75045548234,
2020-07-29,THETA,entry,0.24783,1935.148001909963,479.58772931334613,0.47958772931334614,0.47958772931334614,480.5469047719728,
2020-07-29,MATIC,entry,0.02034,20953.472408216665,426.19362878312694,0.42619362878312694,0.42619362878312694,427.04601604069325,
2020-08-05,ADA,exit,0.14227,7842.188070250811,1115.7080967545828,1.115708096754583,1.115708096754583,,1113.4766805610736
2020-08-05,VET,exit,0.018793,62486.1331534307,1174.3019003524232,1.1743019003524233,1.1743019003524233,,1171.9532965517183
2020-08-05,XLM,exit,0.10749,9110.483915459892,979.2859160727838,0.9792859160727838,0.9792859160727838,,977.3273442406384
2020-08-05,ALGO,exit,0.3355,2496.6736907642367,837.6340232514015,0.8376340232514015,0.8376340232514015,,835.9587552048986
2020-08-05,DOGE,exit,0.0035028,215823.79795027385,755.9875994602193,0.7559875994602193,0.7559875994602193,,754.4756242612988
2020-08-05,TRX,exit,0.02031,31711.844536215347,644.0675625305338,0.6440675625305338,0.6440675625305338,,642.7794274054728
2020-08-05,HBAR,exit,0.04346,12318.445862949746,535.3596572037959,0.535359657203796,0.535359657203796,,534.2889378893883
2020-08-05,THETA,exit,0.31382,1935.148001909963,607.2881459593846,0.6072881459593846,0.6072881459593846,,606.0735696674658
2020-08-05,MATIC,exit,0.0213,20953.472408216665,446.30896229501496,0.446308962295015,0.446308962295015,,445.41634437042495
2020-08-05,XLM,entry,0.10749,10843.847616997786,1165.605180351092,1.165605180351092,1.165605180351092,1167.9363907117943,
2020-08-05,DOGE,entry,0.0035028,295716.1328856925,1035.8344702720037,1.0358344702720037,1.0358344702720037,1037.9061392125477,
2020-08-05,THETA,entry,0.31382,2933.2469757028043,920.511565915054,0.920511565915054,0.920511565915054,922.3525890468841,
2020-08-05,ALGO,entry,0.3355,2438.235305245438,818.0279449098446,0.8180279449098445,0.8180279449098445,819.6640007996643,
2020-08-05,ADA,entry,0.14227,5109.679953913089,726.9541670432152,0.7269541670432152,0.7269541670432152,728.4080753773017,
2020-08-05,VET,entry,0.018793,34375.56198827953,646.0199364457372,0.6460199364457373,0.6460199364457373,647.3119763186288,
2020-08-05,TRX,entry,0.02031,28266.685550046535,574.0963835214452,0.5740963835214452,0.5740963835214452,575.2445762884881,
2020-08-05,HBAR,entry,0.04346,11739.077760915578,510.18031948939097,0.510180319489391,0.510180319489391,511.20068012836975,
2020-08-05,MATIC,entry,0.0213,21285.457461012775,453.3802439195721,0.4533802439195721,0.4533802439195721,454.28700440741125,
2020-08-12,XLM,exit,0.10147,10843.847616997786,1100.3252176967653,1.1003252176967653,1.1003252176967653,,1098.1245672613718
2020-08-12,DOGE,exit,0.0034606,295716.1328856925,1023.3552494642275,1.0233552494642275,1.0233552494642275,,1021.3085389652991
2020-08-12,THETA,exit,0.40377,2933.2469757028043,1184.3571313795214,1.1843571313795214,1.1843571313795214,,1181.9884171167623
2020-08-12,ALGO,exit,0.5233,2438.235305245438,1275.9285352349377,1.2759285352349377,1.2759285352349377,,1273.3766781644679
